VAE model initialized.
VAE Epoch 1, Average Loss: 24.9985
VAE Epoch 2, Average Loss: 20.1253
VAE Epoch 3, Average Loss: 17.9011
VAE Epoch 4, Average Loss: 17.0631
VAE Epoch 5, Average Loss: 15.1525
VAE Epoch 6, Average Loss: 14.7394
VAE Epoch 7, Average Loss: 14.0777
VAE Epoch 8, Average Loss: 13.3440
VAE Epoch 9, Average Loss: 14.6637
VAE Epoch 10, Average Loss: 13.0095
VAE Epoch 11, Average Loss: 11.5765
VAE Epoch 12, Average Loss: 12.4844
VAE Epoch 13, Average Loss: 10.3074
VAE Epoch 14, Average Loss: 10.4527
VAE Epoch 15, Average Loss: 9.9910
VAE Epoch 16, Average Loss: 9.5778
VAE Epoch 17, Average Loss: 8.8596
VAE Epoch 18, Average Loss: 8.9704
VAE Epoch 19, Average Loss: 8.3511
VAE Epoch 20, Average Loss: 8.1252
VAE Epoch 21, Average Loss: 7.6920
VAE Epoch 22, Average Loss: 7.5697
VAE Epoch 23, Average Loss: 7.4261
VAE Epoch 24, Average Loss: 7.5351
VAE Epoch 25, Average Loss: 7.0023
VAE Epoch 26, Average Loss: 6.7452
VAE Epoch 27, Average Loss: 6.5090
VAE Epoch 28, Average Loss: 6.4211
VAE Epoch 29, Average Loss: 6.3186
VAE Epoch 30, Average Loss: 7.7224
VAE Epoch 31, Average Loss: 6.9940
VAE Epoch 32, Average Loss: 6.0175
VAE Epoch 33, Average Loss: 5.9989
VAE Epoch 34, Average Loss: 6.0804
VAE Epoch 35, Average Loss: 5.7218
VAE Epoch 36, Average Loss: 5.7385
VAE Epoch 37, Average Loss: 5.8414
VAE Epoch 38, Average Loss: 5.6580
VAE Epoch 39, Average Loss: 5.6587
VAE Epoch 40, Average Loss: 5.6234
VAE Epoch 41, Average Loss: 5.4748
VAE Epoch 42, Average Loss: 5.5894
VAE Epoch 43, Average Loss: 5.4407
VAE Epoch 44, Average Loss: 6.0790
VAE Epoch 45, Average Loss: 7.0833
VAE Epoch 46, Average Loss: 5.3433
VAE Epoch 47, Average Loss: 5.2464
VAE Epoch 48, Average Loss: 5.2906
VAE Epoch 49, Average Loss: 5.1683
VAE Epoch 50, Average Loss: 5.1464
VAE Epoch 51, Average Loss: 5.1362
VAE Epoch 52, Average Loss: 5.2669
VAE Epoch 53, Average Loss: 5.0645
VAE Epoch 54, Average Loss: 5.1850
VAE Epoch 55, Average Loss: 5.0469
VAE Epoch 56, Average Loss: 5.0154
VAE Epoch 57, Average Loss: 4.9991
